id,name,code,state_id:id
district_bkk_001,Samphanthawong,BKK-1001,base.state_th_001
district_bkk_002,Pom Prap Sattru Phai,BKK-1002,base.state_th_001
district_bkk_003,Khlong Toei,BKK-1003,base.state_th_001
district_bkk_004,Watthana,BKK-1004,base.state_th_001
district_bkk_005,Pathum Wan,BKK-1005,base.state_th_001
district_bkk_006,Yan Nawa,BKK-1006,base.state_th_001
district_bkk_007,Bang Kho Laem,BKK-1007,base.state_th_001
district_bkk_008,Sathon,BKK-1008,base.state_th_001
district_sp_001,Phra Pradaeng,SP-1101,base.state_th_057
district_bkk_009,Rat Burana,BKK-1009,base.state_th_001
district_bkk_010,Thung Khru,BKK-1010,base.state_th_001
district_bkk_011,Bang Khun Thian,BKK-1011,base.state_th_001
district_bkk_012,Bang Bon,BKK-1012,base.state_th_001
district_bkk_013,Chom Thong,BKK-1013,base.state_th_001
district_bkk_014,Phasi Charoen,BKK-1014,base.state_th_001
district_bkk_015,Bang Khae,BKK-1015,base.state_th_001
district_bkk_016,Nong Khaem,BKK-1016,base.state_th_001
district_bkk_017,Thawi Watthana,BKK-1017,base.state_th_001
district_bkk_018,Taling Chan,BKK-1018,base.state_th_001
district_bkk_019,Phra Nakhon,BKK-1019,base.state_th_001
district_bkk_020,Don Mueang,BKK-1020,base.state_th_001
district_bkk_021,Lak Si,BKK-1021,base.state_th_001
district_bkk_022,Sai Mai,BKK-1022,base.state_th_001
district_bkk_023,Bang Khen,BKK-1023,base.state_th_001
district_bkk_024,Khan Na Yao,BKK-1024,base.state_th_001
district_bkk_025,Bueng Kum,BKK-1025,base.state_th_001
district_bkk_026,Lat Phrao,BKK-1026,base.state_th_001
district_bkk_027,Saphan Sung,BKK-1027,base.state_th_001
district_bkk_028,Bang Kapi,BKK-1028,base.state_th_001
district_bkk_029,Suan Luang,BKK-1029,base.state_th_001
district_bkk_030,Prawet,BKK-1030,base.state_th_001
district_bkk_031,Phra Khanong,BKK-1031,base.state_th_001
district_bkk_032,Bang Na,BKK-1032,base.state_th_001
district_sp_002,Mueang Samut Prakan,SP-1102,base.state_th_057
district_sp_003,Phra Samut Chedi,SP-1103,base.state_th_057
district_bkk_033,Dusit,BKK-1033,base.state_th_001
district_bkk_034,Huai Khwang,BKK-1034,base.state_th_001
district_bkk_035,Wang Thonglang,BKK-1035,base.state_th_001
district_bkk_036,Din Daeng,BKK-1036,base.state_th_001
district_bkk_037,Ratchathewi,BKK-1037,base.state_th_001
district_bkk_038,Phaya Thai,BKK-1038,base.state_th_001
district_bkk_039,Bang Rak,BKK-1039,base.state_th_001
district_bkk_040,Khlong Sam Wa,BKK-1040,base.state_th_001
district_bkk_041,Min Buri,BKK-1041,base.state_th_001
district_bkk_042,Lat Krabang,BKK-1042,base.state_th_001
district_bkk_043,Nong Chok,BKK-1043,base.state_th_001
district_sp_004,Bang Phli,SP-1104,base.state_th_057
district_sp_005,Bang Bo,SP-1105,base.state_th_057
district_sp_006,Bang Sao Thong,SP-1106,base.state_th_057
district_bkk_044,Bangkok Yai,BKK-1044,base.state_th_001
district_bkk_045,Thon Buri,BKK-1045,base.state_th_001
district_bkk_046,Khlong San,BKK-1046,base.state_th_001
district_bkk_047,Bang Phlat,BKK-1047,base.state_th_001
district_bkk_048,Bangkok Noi,BKK-1048,base.state_th_001
district_bkk_049,Bang Sue,BKK-1049,base.state_th_001
district_bkk_050,Chatuchak,BKK-1050,base.state_th_001
district_nb_001,Mueang Nonthaburi,NB-1201,base.state_th_036
district_nb_002,Bang Bua Thong,NB-1202,base.state_th_036
district_nb_003,Pak Kret,NB-1203,base.state_th_036
district_nb_004,Bang Kruai,NB-1204,base.state_th_036
district_nb_005,Bang Yai,NB-1205,base.state_th_036
district_nb_006,Sai Noi,NB-1206,base.state_th_036
district_pt_001,Mueang Pathum Thani,PT-1301,base.state_th_037
district_pt_002,Thanyaburi,PT-1302,base.state_th_037
district_pt_003,Khlong Luang,PT-1303,base.state_th_037
district_pt_004,Lam Luk Ka,PT-1304,base.state_th_037
district_pt_005,Lat Lum Kaeo,PT-1305,base.state_th_037
district_pt_006,Sam Khok,PT-1306,base.state_th_037
district_pt_007,Nong Suea,PT-1307,base.state_th_037
district_ay_001,Phra Nakhon Si Ayutthaya,AY-1401,base.state_th_046
district_ay_002,Uthai,AY-1402,base.state_th_046
district_ay_003,Sena,AY-1403,base.state_th_046
district_ay_004,Phak Hai,AY-1404,base.state_th_046
district_ay_005,Tha Ruea,AY-1405,base.state_th_046
district_ay_006,Phachi,AY-1406,base.state_th_046
district_ay_007,Maharat,AY-1407,base.state_th_046
district_ay_008,Bang Pa-in,AY-1408,base.state_th_046
district_ay_009,Wang Noi,AY-1409,base.state_th_046
district_ay_010,Bang Ban,AY-1410,base.state_th_046
district_ay_011,Bang Pahan,AY-1411,base.state_th_046
district_ay_012,Lat Bua Luang,AY-1412,base.state_th_046
district_ay_013,Mueang Lopburi,AY-1413,base.state_th_022
district_ay_014,Ban Phraek,AY-1414,base.state_th_046
district_ay_015,Bang Bal,AY-1415,base.state_th_046
district_ay_016,Nakhon Luang,AY-1416,base.state_th_046
district_ay_017,Bang Sai,AY-1417,base.state_th_046
district_at_001,Mueang Ang Thong,AT-1501,base.state_th_003
district_at_002,Wiset Chai Chan,AT-1502,base.state_th_003
district_at_003,Pho Thong,AT-1503,base.state_th_003
district_at_004,Pa Mok,AT-1504,base.state_th_003
district_at_005,Chaiyo,AT-1505,base.state_th_003
district_at_006,Sawaeng Ha,AT-1506,base.state_th_003
district_at_007,Sam Ko,AT-1507,base.state_th_003
district_lb_001,Ban Mi,LB-1601,base.state_th_022
district_lb_002,Khok Samrong,LB-1602,base.state_th_022
district_lb_003,Chai Badan,LB-1603,base.state_th_022
district_lb_004,Lam Sonthi,LB-1604,base.state_th_022
district_lb_005,Phatthana Nikhom,LB-1605,base.state_th_022
district_lb_006,Tha Wung,LB-1606,base.state_th_022
district_lb_007,Nong Muang,LB-1607,base.state_th_022
district_lb_008,Tha Luang,LB-1608,base.state_th_022
district_lb_009,Sa Bot,LB-1609,base.state_th_022
district_lb_010,Khok Charoen,LB-1610,base.state_th_022
district_sb_001,Mueang Sing Buri,SB-1701,base.state_th_062
district_sb_002,In Buri,SB-1702,base.state_th_062
district_sb_003,Phrom Buri,SB-1703,base.state_th_062
district_sb_004,Bang Rachan,SB-1704,base.state_th_062
district_sb_005,Tha Chang,SB-1705,base.state_th_062
district_sb_006,Khai Bang Rachan,SB-1706,base.state_th_062
